workerid,rt,trial_type,trial_num,adj_positiveness,np_positiveness,context,np,adj,response,sim_glove
7,18313,free_class_elicitation,10,negative,negative,Laura is at the butchershop and looks at the price of a piece of pork.,pork,cheap,pieces of pork,
7,17655,free_class_elicitation,11,negative,neither-nor,Kathleen hears somebody playing the piano.,piano,quiet,pianos,0.6042563319206238
7,10603,free_class_elicitation,12,negative,neither-nor,Angela takes a first sip from a cup of tea.,tea,cold,teas ,
7,8417,free_class_elicitation,13,positive,neither-nor,Kim is sitting in a classroom.,classroom,loud,classrooms ,
7,7413,free_class_elicitation,14,positive,neither-nor,Sophie is at the zoo watching an eel travel.,eel,fast,eels,0.619676411151886
7,13433,free_class_elicitation,15,positive,negative,Alexander is working in the machine shop and picks up a piece of styrofoam.,styrofoam,heavy,Styrofoam,
7,37055,free_class_elicitation,16,positive,positive,Daniel looks at the price of a bottle of top-shelf liquor.,bottle of top-shelf liquor,expensive,liquors,
7,5492,free_class_elicitation,17,negative,negative,Gary sees a jockey.,jockey,short,jockeys ,
7,7180,free_class_elicitation,18,positive,negative,Stephen is looking for a place to live and checks out an apartment.,apartment,large,apartments,0.7545885443687439
8,10150,free_class_elicitation,1,negative,positive,Veronica steps outside on a day in Summer.,Summer,cold,Summer days,
8,9289,free_class_elicitation,2,negative,negative,Lucas steps outside during the evening.,the evening,dark,evenings,
8,9823,free_class_elicitation,3,positive,negative,Michael is walking outside and hears the cry of a hummingbird.,hummingbird,loud,noises,0.12356812506914139
8,8486,free_class_elicitation,4,positive,neither-nor,Melinda is at the butchershop and looks at the price of a piece of chicken.,chicken,expensive,chicken,1.0
8,7088,free_class_elicitation,5,negative,positive,The waitress brings Gary his food at the diner. Gary takes the first bite of his burger.,burger,cold,food,0.40979570150375366
8,9012,free_class_elicitation,6,positive,neither-nor,Alexander hears somebody playing the piano.,piano,loud,piano playing,
8,7880,free_class_elicitation,7,negative,neither-nor,Julia is thinking about watching something on Netflix and looks at the duration of a documentary.,documentary,short,documentaries,0.7954923510551453
8,6824,free_class_elicitation,8,positive,neither-nor,Claire is visiting a friend and sees their pet cat.,cat,large,cats,0.7323004007339478
8,5485,free_class_elicitation,9,negative,neither-nor,Sophie is at the zoo watching an eel travel.,eel,slow,animals,0.15070052444934845
8,15560,free_class_elicitation,10,positive,positive,Josh is working in the machine shop and picks up a piece of steel.,steel,heavy,objects one would carry,
8,8897,free_class_elicitation,11,negative,negative,Simon is sitting in a library.,library,quiet,rooms,0.5171043872833252
8,6592,free_class_elicitation,12,positive,positive,Tom takes a first sip from a cup of coffee.,coffee,hot,drinks,0.7287518978118896
8,8337,free_class_elicitation,13,positive,negative,Gabriel sees a child named Pat.,child,tall,children,0.8553194999694824
8,10335,free_class_elicitation,14,negative,positive,Stephen is looking for a place to live and checks out a villa.,villa,small,living accomodations,
8,10529,free_class_elicitation,15,positive,positive,Tanya sees a giraffe at the zoo.,giraffe,tall,animals,0.31947097182273865
8,7463,free_class_elicitation,16,negative,negative,Lee lifts up a baby named Allen.,baby,light,babies,0.7870863676071167
8,8288,free_class_elicitation,17,positive,negative,The mailman drops off an envelope for Kathleen. Kathleen picks it up.,envelope,heavy,envelopes,0.7296762466430664
8,6614,free_class_elicitation,18,negative,neither-nor,Natalia is helping a friend move and picks up a box.,box,light,boxes,0.730573832988739
9,8627,free_class_elicitation,1,negative,neither-nor,Gary is at the zoo watching an eel travel.,eel,slow,animals.,
9,9115,free_class_elicitation,2,positive,negative,Daniel takes a first sip from a cup of water.,water,hot,liquids.,
9,7196,free_class_elicitation,3,negative,positive,The mailman drops off a box for Natalia. Natalia picks it up.,box,light,boxes,0.730573832988739
9,12154,free_class_elicitation,4,negative,negative,Maya is helping a friend move and picks up a piece of clothing.,piece of clothing,light,clothing,
9,21267,free_class_elicitation,5,positive,negative,Gabriel is visiting a friend and sees their pet mouse.,mouse,large,animals,0.5146914720535278
9,9928,free_class_elicitation,6,negative,negative,Anthony looks at the price of a box of wine.,box of wine,cheap,alcohol,
9,4971,free_class_elicitation,7,positive,positive,David sees an adult named Pat.,adult,tall,men,0.46003133058547974
9,5689,free_class_elicitation,8,positive,positive,Veronica steps outside during the morning.,the morning,light,days,
9,8061,free_class_elicitation,9,negative,positive,Josh lifts up an adult named Allen.,adult,light,men,0.46003133058547974
9,4727,free_class_elicitation,10,positive,negative,Kim hears somebody playing the violin.,violin,loud,instruments,0.5735992193222046
9,5808,free_class_elicitation,11,negative,positive,The waitress brings Tom his food at the diner. Tom takes the first bite of his burger.,burger,cold,foods,0.5431130528450012
9,5300,free_class_elicitation,12,negative,negative,Simon steps outside on a day in Winter.,Winter,cold,seasons,
9,4591,free_class_elicitation,13,positive,neither-nor,Robert is sitting in a classroom.,classroom,loud,rooms,0.6130567789077759
9,7105,free_class_elicitation,14,negative,neither-nor,Jasmine is thinking about watching something on Netflix and looks at the duration of a documentary.,documentary,short,documentaries,0.7954923510551453
9,6791,free_class_elicitation,15,positive,neither-nor,John is working in the machine shop and picks up a piece of plastic.,plastic,heavy,plastics,0.46692290902137756
9,3811,free_class_elicitation,16,positive,neither-nor,Angela is at the butchershop and looks at the price of a piece of chicken.,chicken,expensive,chicken,1.0
9,4035,free_class_elicitation,17,negative,neither-nor,Jennifer sees a monkey at the zoo.,monkey,short,animals,0.4994267523288727
9,6150,free_class_elicitation,18,positive,positive,Stephanie is walking outside and hears the cry of a rooster.,rooster,loud,roosters,0.3816651701927185
10,9511,free_class_elicitation,1,positive,negative,Sophie sees a child named Pat.,child,tall,children.,
10,10968,free_class_elicitation,2,negative,positive,Angela hears somebody playing the drums.,drums,quiet,drummers,0.604985237121582
10,9838,free_class_elicitation,3,positive,negative,Charles looks at the price of a box of wine.,box of wine,expensive,box wines,
10,9149,free_class_elicitation,4,negative,neither-nor,Kim sees a baseball player.,baseball player,short,baseball players,
10,8209,free_class_elicitation,5,negative,neither-nor,Julia is walking outside and hears the cry of a parrot.,parrot,quiet,parrots,0.6655376553535461
10,10111,free_class_elicitation,6,positive,positive,Stephanie is thinking about watching something on Netflix and looks at the duration of a movie.,movie,long,Netflix movies,
10,15953,free_class_elicitation,7,negative,positive,Jasmine is at the butchershop and looks at the price of a piece of steak.,steak,cheap,butchershop steaks,
10,13039,free_class_elicitation,8,negative,negative,Mika is working in the machine shop and picks up a piece of styrofoam.,styrofoam,light,materials,0.2321852147579193
10,13872,free_class_elicitation,9,negative,negative,The waitress brings Monica her food at the diner. Monica takes the first bite of her ice cream.,ice cream,cold,diner food,
10,7592,free_class_elicitation,10,positive,neither-nor,Alicia sees a monkey at the zoo.,monkey,tall,monkeys at the zoo,
10,14968,free_class_elicitation,11,positive,positive,Michael steps outside during the morning.,the morning,light,rooms they&quotecharve just been in,
10,7342,free_class_elicitation,12,negative,positive,Robert is at the zoo watching a snake travel.,snake,slow,animals,0.49764129519462585
10,9984,free_class_elicitation,13,positive,neither-nor,Alexander is looking for a place to live and checks out a townhouse.,townhouse,large,places to live,
10,4687,free_class_elicitation,14,positive,neither-nor,Daniel is sitting in a classroom.,classroom,loud,classrooms,0.8148455619812012
10,6248,free_class_elicitation,15,positive,positive,Claire is helping a friend move and picks up a piece of furniture.,piece of furniture,heavy,funiture,
10,8912,free_class_elicitation,16,negative,negative,John steps outside on a day in Winter.,Winter,cold,places they&quotecharve been,
10,9103,free_class_elicitation,17,negative,neither-nor,The mailman drops off a package for Michelle. Michelle picks it up.,package,light,packages they&quotecharve received,
10,3625,free_class_elicitation,18,positive,negative,Kim lifts up a baby named Allen.,baby,heavy,babies,0.7870863676071167
11,15025,free_class_elicitation,1,positive,positive,Eric hears somebody playing the drums.,drums,loud,sounds,0.5546292662620544
11,13078,free_class_elicitation,2,negative,positive,The waitress brings Veronica her food at the diner. Veronica takes the first bite of her burger.,burger,cold,food,0.40979570150375366
11,19434,free_class_elicitation,3,negative,negative,Gary steps outside on a day in Winter.,Winter,cold,Most days,
11,11252,free_class_elicitation,4,negative,positive,Kim is thinking about watching something on Netflix and looks at the duration of a movie.,movie,short,movies,0.8959326148033142
11,14917,free_class_elicitation,5,positive,negative,Maya is working in the machine shop and picks up a piece of styrofoam.,styrofoam,heavy,styrofoam,1.0
11,55208,free_class_elicitation,6,positive,negative,Michael lifts up a baby named Allen.,baby,heavy,babies,0.7870863676071167
11,7732,free_class_elicitation,7,positive,positive,Daniel is walking outside and hears the cry of a rooster.,rooster,loud,roosters,0.3816651701927185
11,6545,free_class_elicitation,8,positive,positive,Jasmine sees a giraffe at the zoo.,giraffe,tall,animals,0.31947097182273865
11,11998,free_class_elicitation,9,negative,neither-nor,Michelle sees a baseball player.,baseball player,short,baseball players,
11,10243,free_class_elicitation,10,positive,neither-nor,Jennifer takes a first sip from a cup of tea.,tea,hot,drinks,0.6754350662231445
11,8047,free_class_elicitation,11,negative,positive,Stephen is visiting a friend and sees their pet dog.,dog,small,dogs,0.8344309329986572
11,12382,free_class_elicitation,12,positive,neither-nor,Angela is helping a friend move and picks up a box.,box,heavy,boxes,0.730573832988739
11,8065,free_class_elicitation,13,negative,neither-nor,Laura is at the zoo watching an eel travel.,eel,slow,animals,0.15070052444934845
11,9656,free_class_elicitation,14,positive,negative,Simon is looking for a place to live and checks out an apartment.,apartment,large,apartments,0.7545885443687439
11,7200,free_class_elicitation,15,negative,negative,Julia is sitting in a library.,library,quiet,libraries,0.7932377457618713
11,8494,free_class_elicitation,16,negative,negative,Stephanie looks at the price of a box of wine.,box of wine,cheap,wines,
11,87844,free_class_elicitation,17,positive,neither-nor,Lucas is at the butchershop and looks at the price of a piece of chicken.,chicken,expensive,chickens,0.5943852663040161
11,11932,free_class_elicitation,18,negative,neither-nor,Claire steps outside during dusk.,dusk,dark,days,0.4569459557533264
12,13069,free_class_elicitation,1,negative,negative,Gabriel is at the butchershop and looks at the price of a piece of pork.,pork,cheap,porks,
12,16588,free_class_elicitation,2,positive,positive,Melinda is sitting in a gymnasium.,gymnasium,loud,Gym&quotechars,
12,15585,free_class_elicitation,3,positive,positive,Monica is working in the machine shop and picks up a piece of steel.,steel,heavy,piece of steel.,
12,17538,free_class_elicitation,4,positive,negative,Stephen is walking outside and hears the cry of a hummingbird.,hummingbird,loud,noise around there.,
12,24168,free_class_elicitation,5,negative,neither-nor,The waitress brings Alicia her food at the diner. Alicia takes the first bite of her fruit.,fruit,cold, foods,
12,15490,free_class_elicitation,6,negative,negative,Stephanie is helping a friend move and picks up a piece of clothing.,piece of clothing,light,piece of clothes.,
12,15859,free_class_elicitation,7,positive,positive,Laura looks at the price of a bottle of top-shelf liquor.,bottle of top-shelf liquor,expensive,other bottle of liquor,
12,122571,free_class_elicitation,8,negative,positive,Gary is at the zoo watching a snake travel.,snake,slow,snakes,0.7458169460296631
12,10027,free_class_elicitation,9,positive,neither-nor,Kim lifts up a kid named Allen.,kid,heavy,kids,0.7564833760261536
12,36874,free_class_elicitation,10,negative,positive,The mailman drops off a box for Julia. Julia picks it up.,box,light,boxes.,
12,38755,free_class_elicitation,11,positive,neither-nor,Daniel steps outside on a day in Fall.,Fall,warm,weather in another day.,
12,10948,free_class_elicitation,12,positive,negative,Michelle sees a child named Pat.,child,tall,childs,0.055921196937561035
12,28024,free_class_elicitation,13,negative,neither-nor,Jasmine is thinking about watching something on Netflix and looks at the duration of a documentary.,documentary,short,Netflix documentary.,
12,12121,free_class_elicitation,14,positive,neither-nor,Claire is looking for a place to live and checks out a townhouse.,townhouse,large,townhouse.,
12,22682,free_class_elicitation,15,positive,negative,Michael steps outside during the evening.,the evening,light,places in house.,
12,13624,free_class_elicitation,16,negative,positive,Tom takes a first sip from a cup of coffee.,coffee,cold,cup of coffee that he had.,
12,8064,free_class_elicitation,17,negative,negative,Maya sees a penguin at the zoo.,penguin,short,penguin,1.0
12,10028,free_class_elicitation,18,negative,neither-nor,Tanya sees a baseball player.,baseball player,short,baseball player.,
