"workerid","super_endorsement","other_response","target","degree","super_category","adjective","other_endorsement","names","context","sub_endorsement","condition","sub_category"
1,0.22,""," is short","height","people","short",0,"Angela"," sees a 4 year-old boy.",0.33," relative to other ","4 year-old boys"
1,0.13,"","That was long","time","entertainment","long",0,"Kim"," just finished watching a movie.",0.17," relative to other ","movies"
2,0.77,"snacks","This is cheap","price","treats","cheap",0,"Kathleen"," is buying a lollipop.",0.99," relative to other ","lollipops"
2,0.74,"desserts","This is expensive","price","treats","expensive",0.74,"Cameron"," is buying an ice cream cone.",0.96," relative to other ","ice cream cones"
2,0.03,""," is tall","height","people","tall",0,"Daniel"," sees a 4 year-old boy.",0.98," relative to other ","4 year-old boys"
2,0.17,"","That was long","time","entertainment","long",0,"Michael"," just finished watching a youtube video.",0.98," relative to other ","youtube videos"
2,0.1,""," is heavy","weight","personal electronics","heavy",0,"Monica"," is buying an iPhone and lifts it up.",0.96," relative to other ","phones"
2,0.76,""," is tall","height","people","tall",0,"William"," sees a 35 year-old man.",0.97," relative to other ","men in their 30s"
2,0.02,"","That was long","time","entertainment","long",0,"Laura"," just finished watching a movie.",0.95," relative to other ","movies"
2,0.56,""," is light","weight","personal electronics","light",0,"Robert"," is buying an iPod shuffle and lifts it up.",0.97," relative to other ","digital music players"
2,0.68,""," is short","height","people","short",0,"Tom"," sees a 35 year-old man.",0.97," relative to other ","men in their 30s"
2,0.08,""," is heavy","weight","personal electronics","heavy",0,"Kim"," is buying an iPad and lifts it up.",0.98," relative to other ","tablet computers"
2,0.13,""," is light","weight","personal electronics","light",0,"Angela"," is buying an iPhone and lifts it up.",0.97," relative to other ","phones"
2,0.63,"","This is expensive","price","treats","expensive",0,"Charles"," is buying a box of chocolates from the local chocolatier.",0.98," relative to other ","boxes of chocolate from the local chocolatier"
2,0.11,""," is short","height","people","short",0,"Eric"," sees a professional basketball player.",0.98," relative to other ","basketball players"
2,0.57,"","This is cheap","price","treats","cheap",0,"Gabriel"," is buying a box of chocolates from the local chocolatier.",0.97," relative to other ","boxes of chocolate from the local chocolatier"
2,0.95,"","It&quotechars cold","temperature","beverages","cold",0,"Simon"," takes a sip from a glass of milk.",0.67," relative to other ","glasses of milk"
2,0.08,""," is heavy","weight","personal electronics","heavy",0,"Natalia"," is buying an iPod shuffle and lifts it up.",0.97," relative to other ","digital music players"
2,0.04,"","That was short","time","entertainment","short",0,"Stephanie"," just finished watching a movie.",0.97," relative to other ","movies"
2,0.03,"","It&quotechars cold","temperature","beverages","cold",0,"Alexander"," takes a sip from a cup of coffee.",0.96," relative to other ","cups of coffee"
2,0.53,"","This is expensive","price","treats","expensive",0,"Maya"," is buying a lollipop.",0.96," relative to other ","lollipops"
2,0.56,""," is tall","height","people","tall",0,"Claire"," sees a professional basketball player.",0.96," relative to other ","basketball players"
2,0.64,"","It&quotechars cold","temperature","beverages","cold",0,"Alicia"," takes a sip from a cup of iced coffee.",0.33," relative to other ","cups of iced coffee"
2,0.15,"","It&quotechars warm","temperature","beverages","warm",0,"Veronica"," takes a sip from a glass of milk.",0.98," relative to other ","glasses of milk"
2,0.21,"","It&quotechars warm","temperature","beverages","warm",0,"Josh"," takes a sip from a cup of iced coffee.",0.97," relative to other ","cups of iced coffee"
2,0.02,""," is short","height","people","short",0,"Anthony"," sees a 4 year-old boy.",0.97," relative to other ","4 year-old boys"
2,0.33,"","It&quotechars warm","temperature","beverages","warm",0,"Lucas"," takes a sip from a cup of coffee.",0.77," relative to other ","cups of coffee"
2,0.41,"","This is cheap","price","treats","cheap",0,"Gary"," is buying an ice cream cone.",0.96," relative to other ","ice cream cones"
2,0.1,"","That was long","time","entertainment","long",0,"Jasmine"," just finished watching a season of a television show.",0.97," relative to other ","television seasons"
2,0.16,""," is heavy","weight","personal electronics","heavy",0,"Jennifer"," is buying an Apple Laptop (MacBook) and lifts it up.",0.96," relative to other ","laptop computers"
2,0.1,""," is light","weight","personal electronics","light",0,"Julia"," is buying an iPad and lifts it up.",0.98," relative to other ","tablet computers"
2,0.04,"","That was short","time","entertainment","short",0,"Lee"," just finished watching a youtube video.",0.95," relative to other ","youtube videos"
2,0.09,""," is light","weight","personal electronics","light",0,"Melinda"," is buying an Apple Laptop (MacBook) and lifts it up.",0.97," relative to other ","laptop computers"
2,0.1,"","That was short","time","entertainment","short",0,"David"," just finished watching a season of a television show.",0.96," relative to other ","television seasons"
3,0.28,""," is heavy","weight","personal electronics","heavy",0,"Daniel"," is buying an Apple Laptop (MacBook) and lifts it up.",0.87," relative to other ","laptop computers"
3,0.99,"","That was short","time","entertainment","short",0,"Charles"," just finished watching a season of a television show.",0.99," relative to other ","television seasons"
3,0.02,"","It&quotechars cold","temperature","beverages","cold",0,"Josh"," takes a sip from a cup of coffee.",0.98," relative to other ","cups of coffee"
3,0.11,"","That was long","time","entertainment","long",0,"Greg"," just finished watching a youtube video.",1," relative to other ","youtube videos"
3,0.95,"","This is expensive","price","treats","expensive",0,"Michelle"," is buying a lollipop.",1," relative to other ","lollipops"
3,0.79,"","That was short","time","entertainment","short",0,"Simon"," just finished watching a youtube video.",1," relative to other ","youtube videos"
3,1,""," is light","weight","personal electronics","light",0,"Cameron"," is buying an iPad and lifts it up.",0.26," relative to other ","tablet computers"
3,0.29,""," is light","weight","personal electronics","light",0,"Kim"," is buying an Apple Laptop (MacBook) and lifts it up.",1," relative to other ","laptop computers"
3,0.68,"","It&quotechars warm","temperature","beverages","warm",0,"John"," takes a sip from a cup of coffee.",1," relative to other ","cups of coffee"
3,0.86,"","It&quotechars cold","temperature","beverages","cold",0,"Stephen"," takes a sip from a glass of milk.",0.52," relative to other ","glasses of milk"
3,1,"","This is cheap","price","treats","cheap",0,"Mika"," is buying a box of chocolates from the local chocolatier.",0.78," relative to other ","boxes of chocolate from the local chocolatier"
3,1,""," is short","height","people","short",0,"Veronica"," sees a 35 year-old man.",0.07," relative to other ","men in their 30s"
3,0.93,"","It&quotechars warm","temperature","beverages","warm",0,"Robert"," takes a sip from a glass of milk.",0.36," relative to other ","glasses of milk"
3,0.28,"","That was short","time","entertainment","short",0,"Alicia"," just finished watching a movie.",1," relative to other ","movies"
3,0.11,"","It&quotechars warm","temperature","beverages","warm",0,"Laura"," takes a sip from a cup of iced coffee.",1," relative to other ","cups of iced coffee"
3,0.83,"","That was long","time","entertainment","long",0,"Tanya"," just finished watching a movie.",1," relative to other ","movies"
3,0.14,""," is light","weight","personal electronics","light",0,"Kathleen"," is buying an iPhone and lifts it up.",1," relative to other ","phones"
3,1,""," is tall","height","people","tall",0,"Kim"," sees a 35 year-old man.",0.05," relative to other ","men in their 30s"
3,0.06,""," is heavy","weight","personal electronics","heavy",0,"William"," is buying an iPhone and lifts it up.",0.9," relative to other ","phones"
3,1,"","This is expensive","price","treats","expensive",0,"Maya"," is buying a box of chocolates from the local chocolatier.",0.15," relative to other ","boxes of chocolate from the local chocolatier"
3,0.27,"","This is expensive","price","treats","expensive",0,"Lee"," is buying an ice cream cone.",0.84," relative to other ","ice cream cones"
3,0.86,"","This is cheap","price","treats","cheap",0,"Gary"," is buying an ice cream cone.",0.85," relative to other ","ice cream cones"
3,0.84,""," is heavy","weight","personal electronics","heavy",0,"Melinda"," is buying an iPod shuffle and lifts it up.",0.18," relative to other ","digital music players"
3,0.37,"","That was long","time","entertainment","long",0,"David"," just finished watching a season of a television show.",1," relative to other ","television seasons"
3,0.17,""," is heavy","weight","personal electronics","heavy",0,"Natalia"," is buying an iPad and lifts it up.",0.94," relative to other ","tablet computers"
3,0.94,""," is tall","height","people","tall",0,"Lucas"," sees a professional basketball player.",0.05," relative to other ","basketball players"
3,0.04,""," is short","height","people","short",0,"Jennifer"," sees a professional basketball player.",0.96," relative to other ","basketball players"
3,0.96,"","It&quotechars cold","temperature","beverages","cold",0,"Monica"," takes a sip from a cup of iced coffee.",0.04," relative to other ","cups of iced coffee"
3,0.04,""," is tall","height","people","tall",0,"Angela"," sees a 4 year-old boy.",0.94," relative to other ","4 year-old boys"
3,0.06,""," is light","weight","personal electronics","light",0,"Stephanie"," is buying an iPod shuffle and lifts it up.",0.97," relative to other ","digital music players"
3,0.28,"","This is cheap","price","treats","cheap",0,"Claire"," is buying a lollipop.",0.95," relative to other ","lollipops"
3,0.04,""," is short","height","people","short",0,"Tom"," sees a 4 year-old boy.",0.96," relative to other ","4 year-old boys"
4,0.17,"The season felt long","That was long","time","entertainment","long",1,"Jasmine"," just finished watching a season of a television show.",0.16," relative to other ","television seasons"
4,1,""," is short","height","people","short",0,"Monica"," sees a 4 year-old boy.",0.15," relative to other ","4 year-old boys"
4,0.01,"It&quotechars colder then I expected","It&quotechars cold","temperature","beverages","cold",1,"Laura"," takes a sip from a cup of iced coffee.",0.02," relative to other ","cups of iced coffee"
4,1,"","This is cheap","price","treats","cheap",0.01,"Angela"," is buying a box of chocolates from the local chocolatier.",0.5," relative to other ","boxes of chocolate from the local chocolatier"
4,0.67,"","This is expensive","price","treats","expensive",0,"Kim"," is buying an ice cream cone.",0.76," relative to other ","ice cream cones"
4,0.01,"This is lighter than expected"," is light","weight","personal electronics","light",1,"Josh"," is buying an iPod shuffle and lifts it up.",0.01," relative to other ","digital music players"
4,0.01,""," is short","height","people","short",0.01,"John"," sees a professional basketball player.",1," relative to other ","basketball players"
4,0.97,""," is light","weight","personal electronics","light",0.01,"Alexander"," is buying an iPhone and lifts it up.",0.5," relative to other ","phones"
4,0.58,"","This is expensive","price","treats","expensive",0.02,"Cameron"," is buying a box of chocolates from the local chocolatier.",0.89," relative to other ","boxes of chocolate from the local chocolatier"
4,0.97,""," is heavy","weight","personal electronics","heavy",0.02,"Jennifer"," is buying an iPod shuffle and lifts it up.",0.87," relative to other ","digital music players"
4,0.38,"","That was short","time","entertainment","short",0.02,"Simon"," just finished watching a movie.",0.97," relative to other ","movies"
4,0.09,"","It&quotechars warm","temperature","beverages","warm",0.02,"Mika"," takes a sip from a cup of iced coffee.",0.97," relative to other ","cups of iced coffee"
4,0.29,""," is short","height","people","short",0.02,"Kathleen"," sees a 35 year-old man.",0.98," relative to other ","men in their 30s"
4,0.62,"","This is cheap","price","treats","cheap",0.01,"Robert"," is buying an ice cream cone.",0.96," relative to other ","ice cream cones"
4,0.98,""," is heavy","weight","personal electronics","heavy",0.02,"Michelle"," is buying an iPhone and lifts it up.",0.72," relative to other ","phones"
4,0.84,"","It&quotechars cold","temperature","beverages","cold",0.01,"Daniel"," takes a sip from a cup of coffee.",0.56," relative to other ","cups of coffee"
4,0.18,"","That was long","time","entertainment","long",0.01,"Lucas"," just finished watching a movie.",0.98," relative to other ","movies"
4,0.83,"","That was short","time","entertainment","short",0.01,"Maya"," just finished watching a youtube video.",0.96," relative to other ","youtube videos"
4,0.27,"","That was short","time","entertainment","short",0.02,"Stephanie"," just finished watching a season of a television show.",0.98," relative to other ","television seasons"
4,0.07,"","It&quotechars warm","temperature","beverages","warm",0.02,"Kim"," takes a sip from a cup of coffee.",0.97," relative to other ","cups of coffee"
4,0.23,""," is light","weight","personal electronics","light",0.02,"Charles"," is buying an Apple Laptop (MacBook) and lifts it up.",0.97," relative to other ","laptop computers"
4,0.96,""," is light","weight","personal electronics","light",0.01,"Veronica"," is buying an iPad and lifts it up.",0.27," relative to other ","tablet computers"
4,0.03,"","This is expensive","price","treats","expensive",0.02,"Julia"," is buying a lollipop.",0.98," relative to other ","lollipops"
4,0.98,"","It&quotechars cold","temperature","beverages","cold",0.01,"Anthony"," takes a sip from a glass of milk.",0.02," relative to other ","glasses of milk"
4,0.02,"","It&quotechars warm","temperature","beverages","warm",0.02,"Eric"," takes a sip from a glass of milk.",0.97," relative to other ","glasses of milk"
4,0.97,"","This is cheap","price","treats","cheap",0.02,"Melinda"," is buying a lollipop.",0.02," relative to other ","lollipops"
4,0.04,""," is heavy","weight","personal electronics","heavy",0.02,"Gabriel"," is buying an Apple Laptop (MacBook) and lifts it up.",0.99," relative to other ","laptop computers"
4,0.06,""," is tall","height","people","tall",0.02,"Stephen"," sees a 4 year-old boy.",0.97," relative to other ","4 year-old boys"
4,0.97,""," is tall","height","people","tall",0.02,"Gary"," sees a 35 year-old man.",0.5," relative to other ","men in their 30s"
4,0.2,"","That was long","time","entertainment","long",0.01,"William"," just finished watching a youtube video.",0.97," relative to other ","youtube videos"
4,0.97,""," is tall","height","people","tall",0.02,"Alicia"," sees a professional basketball player.",0.2," relative to other ","basketball players"
4,0.07,""," is heavy","weight","personal electronics","heavy",0.02,"Claire"," is buying an iPad and lifts it up.",0.98," relative to other ","tablet computers"
5,0.89,"men"," is short","height","people","short",0.53,"Jennifer"," sees a 35 year-old man.",0.1," relative to other ","men in their 30s"
5,0.85,"drinks","It&quotechars warm","temperature","beverages","warm",0.85,"Gary"," takes a sip from a cup of coffee.",0.11," relative to other ","cups of coffee"
5,0.6,"single episodes","That was long","time","entertainment","long",0.92,"Kim"," just finished watching a season of a television show.",0.59," relative to other ","television seasons"
5,0.53,"iPhones"," is light","weight","personal electronics","light",0.72,"Eric"," is buying an iPhone and lifts it up.",0.91," relative to other ","phones"
5,0.47,"food","This is expensive","price","treats","expensive",0.81,"Natalia"," is buying a lollipop.",0.36," relative to other ","lollipops"
5,0.87,"drinks","It&quotechars warm","temperature","beverages","warm",0.78,"William"," takes a sip from a glass of milk.",0.12," relative to other ","glasses of milk"
5,0.83,"drinks","It&quotechars cold","temperature","beverages","cold",0.71,"Jasmine"," takes a sip from a glass of milk.",0.1," relative to other ","glasses of milk"
5,0.86,"men"," is tall","height","people","tall",0.82,"Greg"," sees a professional basketball player.",0.53," relative to other ","basketball players"
5,0.47,"men"," is short","height","people","short",0.37,"Monica"," sees a professional basketball player.",0.83," relative to other ","basketball players"
5,0.51,"food","This is expensive","price","treats","expensive",0.83,"Kim"," is buying an ice cream cone.",0.59," relative to other ","ice cream cones"
5,0.56,"foods","This is cheap","price","treats","cheap",0.72,"Sophie"," is buying an ice cream cone.",0.64," relative to other ","ice cream cones"
5,0.64,"Apple products"," is heavy","weight","personal electronics","heavy",0.19,"David"," is buying an Apple Laptop (MacBook) and lifts it up.",0.73," relative to other ","laptop computers"
5,0.68,"box of chocolates around","This is expensive","price","treats","expensive",0.83,"Michelle"," is buying a box of chocolates from the local chocolatier.",0.6," relative to other ","boxes of chocolate from the local chocolatier"
5,0.58,"MacBooks"," is light","weight","personal electronics","light",0.67,"Cameron"," is buying an Apple Laptop (MacBook) and lifts it up.",0.7," relative to other ","laptop computers"
5,0.19,"Apple products"," is light","weight","personal electronics","light",0.27,"Alexander"," is buying an iPad and lifts it up.",0.67," relative to other ","tablet computers"
5,0.79,"drinks","It&quotechars cold","temperature","beverages","cold",0.78,"Stephen"," takes a sip from a cup of coffee.",0.26," relative to other ","cups of coffee"
5,0.69,"food","This is cheap","price","treats","cheap",0.75,"Charles"," is buying a lollipop.",0.69," relative to other ","lollipops"
5,0.83,"normal temperature drinks","It&quotechars cold","temperature","beverages","cold",0.75,"Angela"," takes a sip from a cup of iced coffee.",0.7," relative to other ","cups of iced coffee"
5,0.56,"movies she saw in past times","That was short","time","entertainment","short",0.73,"Kathleen"," just finished watching a movie.",0.57," relative to other ","movies"
5,0.5,"4 yo girls"," is short","height","people","short",0.2,"Maya"," sees a 4 year-old boy.",0.74," relative to other ","4 year-old boys"
5,0.51,"videos of the same videomaker","That was short","time","entertainment","short",0,"Gabriel"," just finished watching a youtube video.",0.78," relative to other ","youtube videos"
5,0.55,"videos of the same channel","That was long","time","entertainment","long",0.78,"Alicia"," just finished watching a youtube video.",0.83," relative to other ","youtube videos"
5,0.44,"4 yo girls"," is tall","height","people","tall",0.36,"Robert"," sees a 4 year-old boy.",0.75," relative to other ","4 year-old boys"
5,0.57,"Apple devices"," is light","weight","personal electronics","light",0.47,"Anthony"," is buying an iPod shuffle and lifts it up.",0.79," relative to other ","digital music players"
5,0.45,"hot drinks","It&quotechars warm","temperature","beverages","warm",0.14,"Michael"," takes a sip from a cup of iced coffee.",0.78," relative to other ","cups of iced coffee"
5,0.67,"kind of food","This is cheap","price","treats","cheap",0.54,"John"," is buying a box of chocolates from the local chocolatier.",0.66," relative to other ","boxes of chocolate from the local chocolatier"
5,0.55,"single episodes of the series","That was short","time","entertainment","short",0.35,"Tom"," just finished watching a season of a television show.",0.77," relative to other ","television seasons"
5,0.46,"Apple devices"," is heavy","weight","personal electronics","heavy",0.45,"Daniel"," is buying an iPod shuffle and lifts it up.",0.72," relative to other ","digital music players"
5,0.54,"iPhone models"," is heavy","weight","personal electronics","heavy",0.61,"Simon"," is buying an iPhone and lifts it up.",0.75," relative to other ","phones"
5,0.55,"Apple devices"," is heavy","weight","personal electronics","heavy",0.6,"Claire"," is buying an iPad and lifts it up.",0.73," relative to other ","tablet computers"
5,0.72,"women"," is tall","height","people","tall",0.29,"Veronica"," sees a 35 year-old man.",0.51," relative to other ","men in their 30s"
5,0.51,"movies she saw in past times","That was long","time","entertainment","long",0.25,"Josh"," just finished watching a movie.",0.66," relative to other ","movies"
6,0.76," other men"," is short","height","people","short",1,"Angela"," sees a 35 year-old man.",0.58," relative to other ","men in their 30s"
6,0.04,"iPhones"," is light","weight","personal electronics","light",0.78,"Stephen"," is buying an iPhone and lifts it up.",0.78," relative to other ","phones"
6,0.43,"","This is cheap","price","treats","cheap",0,"John"," is buying an ice cream cone.",0.91," relative to other ","ice cream cones"
6,0.14,"","It&quotechars warm","temperature","beverages","warm",0,"Julia"," takes a sip from a glass of milk.",0.93," relative to other ","glasses of milk"
6,0.87,""," is light","weight","personal electronics","light",0,"Laura"," is buying an iPod shuffle and lifts it up.",0.95," relative to other ","digital music players"
6,0.23,"","This is cheap","price","treats","cheap",0,"Tanya"," is buying a box of chocolates from the local chocolatier.",0.83," relative to other ","boxes of chocolate from the local chocolatier"
6,0.05,""," is short","height","people","short",0,"Michelle"," sees a professional basketball player.",0.95," relative to other ","basketball players"
6,0.56,"","This is expensive","price","treats","expensive",0,"Eric"," is buying an ice cream cone.",0.99," relative to other ","ice cream cones"
6,0.9,"","It&quotechars cold","temperature","beverages","cold",0,"Lee"," takes a sip from a glass of milk.",0.91," relative to other ","glasses of milk"
6,0.04,"","That was short","time","entertainment","short",0,"Monica"," just finished watching a movie.",1," relative to other ","movies"
6,0.93,"","It&quotechars warm","temperature","beverages","warm",0,"Kim"," takes a sip from a cup of coffee.",0.05," relative to other ","cups of coffee"
6,0.26,"","That was long","time","entertainment","long",0,"Michael"," just finished watching a youtube video.",0.94," relative to other ","youtube videos"
6,1,""," is tall","height","people","tall",0,"Simon"," sees a professional basketball player.",0.6," relative to other ","basketball players"
6,0.76,"","This is expensive","price","treats","expensive",0,"Stephanie"," is buying a lollipop.",0.76," relative to other ","lollipops"
6,0.58,"","That was long","time","entertainment","long",0,"Anthony"," just finished watching a season of a television show.",0.99," relative to other ","television seasons"
6,0.8,"","That was short","time","entertainment","short",0,"Alicia"," just finished watching a youtube video.",0.69," relative to other ","youtube videos"
6,0.18,""," is heavy","weight","personal electronics","heavy",0,"Gabriel"," is buying an iPad and lifts it up.",0.92," relative to other ","tablet computers"
6,0.9,"","It&quotechars cold","temperature","beverages","cold",0,"Claire"," takes a sip from a cup of iced coffee.",0.16," relative to other ","cups of iced coffee"
6,0.3,""," is heavy","weight","personal electronics","heavy",0,"Gary"," is buying an iPod shuffle and lifts it up.",0.94," relative to other ","digital music players"
6,0.61,""," is light","weight","personal electronics","light",0,"Daniel"," is buying an iPad and lifts it up.",0.98," relative to other ","tablet computers"
6,0.55,""," is heavy","weight","personal electronics","heavy",0,"Veronica"," is buying an iPhone and lifts it up.",0.91," relative to other ","phones"
