workerid,stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,response,response_lemma,specific,matchingSuper
workerid_0507,67,strength,Sophie watches a child lift up a box.,people,child,low,weak,negative,child,box,box,0,0
workerid_0507,88,width,Julia is standing at the bank of a creek.,waterways,creek,low,narrow,negative,creek,bank,bank,0,0
workerid_0521,67,strength,Gary watches a teenager lift up a box.,people,teenager,medium,weak,negative,teenager,BOX,box,0,0
workerid_0522,67,strength,William watches a teenager lift up a box.,people,teenager,medium,strong,positive,teenager,boxes,box,0,0
workerid_0522,90,width,Julia is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furnitures,furniture,0,0
workerid_0528,67,strength,Maya watches a teenager lift up a box.,people,teenager,medium,strong,positive,teenager,boxes,box,0,0
workerid_0529,90,width,Jennifer is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0532,90,width,Tanya is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0540,90,width,Sophie is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0546,88,width,Mika is standing at the bank of a creek.,waterways,creek,low,narrow,negative,creek,banks,bank,0,0
workerid_0550,90,width,Mika is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0552,90,width,Michelle is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0556,55,size,Lucas is at an aquarium and sees a herring.,fish,herring,low,small,negative,herring,birds,birds,0,0
workerid_0562,90,width,Josh is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0579,88,width,Tanya is standing at the bank of a creek.,waterways,creek,low,narrow,negative,creek,banks,bank,0,0
workerid_0584,90,width,Maya is attempting to move furniture through the back door of her house.,doorways,back door,low,narrow,negative,back,furniture,furniture,0,0
workerid_0595,90,width,Gabriel is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture pieces,furniture,0,0
workerid_0599,67,strength,Mika watches a teenager lift up a box.,people,teenager,medium,weak,negative,teenager,boxes,box,0,0
workerid_0603,90,width,Veronica is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0610,90,width,Stephanie is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0615,67,strength,Tom watches an adult lift up a box.,people,adult,high,weak,negative,adult,box,box,0,0
workerid_0618,67,strength,Jasmine watches an adult lift up a box.,people,adult,high,strong,positive,adult,boxes,box,0,0
workerid_0624,90,width,Kim is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,pieces of furniture, furniture,0,0
workerid_0631,90,width,Gary is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,pieces of furniture, furniture,0,0
workerid_0640,90,width,Maya is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0647,67,strength,Michael watches a teenager lift up a box.,people,teenager,medium,weak,negative,teenager,boxes,box,0,0
workerid_0663,90,width,Robert is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0685,26,length_duration,William is looking at a street on Google Maps.,roads,street,medium,short,negative,street,maps,maps,0,0
workerid_0696,67,strength,David watches a child lift up a box.,people,child,low,strong,positive,child,box,box,0,0
workerid_0700,90,width,Alicia is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0702,67,strength,Lee watches a teenager lift up a box.,people,teenager,medium,weak,negative,teenager,box,box,0,0
workerid_0704,90,width,Monica is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furnitures,furniture,0,0
workerid_0717,90,width,Lucas is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0721,67,strength,Anthony watches a child lift up a box.,people,child,low,weak,negative,child,boxs,box,0,0
workerid_0726,90,width,Charles is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0731,26,length_duration,David is looking at an alley on Google Maps.,roads,alley,low,long,positive,alley,maps,maps,0,0
workerid_0740,90,width,Lee is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0746,90,width,Mika is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0747,54,size,Stephanie is at a farmer's market and picks up a kumquat.,fruit,kumquat,low,small,negative,kumquat,vegetables,vegetables,0,0
workerid_0752,90,width,Anthony is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,pieces of furniture, furniture,0,0
workerid_0758,88,width,Josh is standing at the bank of a creek.,waterways,creek,low,narrow,negative,creek,banks,bank,0,0
workerid_0776,55,size,Kim is at an aquarium and sees a herring.,fish,herring,low,small,negative,herring,birds,birds,0,0
workerid_0778,67,strength,Claire watches a child lift up a box.,people,child,low,strong,positive,child,boxes,box,0,0
workerid_0788,90,width,Julia is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0790,90,width,Natalia is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furnitures,furniture,0,0
workerid_0813,90,width,Stephanie is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture of the same type,furniture,0,0
workerid_0822,90,width,Simon is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0836,26,length_duration,Laura is looking at an alley on Google Maps.,roads,alley,low,long,positive,alley,maps,maps,0,0
