"workerid","tested_on","response","check_index","catch_response","property","correct","condition"
10,0,0,1,NA,"""huge umbrella""",1,"""memory_check"""
10,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
10,1,1,3,NA,"""cold day in Fall""",1,"""memory_check"""
10,1,0,4,NA,"""quiet electric car""",0,"""memory_check"""
10,0,0,5,NA,"""flowing fields""",1,"""memory_check"""
10,1,0,6,NA,"""long driving route from Los Angeles to San Francisco""",0,"""memory_check"""
10,0,0,7,NA,"""ostentatious bike""",1,"""memory_check"""
10,0,0,8,NA,"""boisterous teenager""",1,"""memory_check"""
10,1,0,9,NA,"""dark sunroom""",0,"""memory_check"""
10,-1,-1,-1,NA,"""good experience""",-1,"""explanation"""
11,NA,NA,NA,"""buildings""",NA,NA,NA
11,0,0,0,NA,"""ostentatious bike""",1,"""memory_check"""
11,0,0,1,NA,"""flowing fields""",1,"""memory_check"""
11,1,1,2,NA,""" short gymnast""",1,"""memory_check"""
11,1,1,3,NA,"""warm day in Fall""",1,"""memory_check"""
11,0,0,4,NA,"""miniscule bug""",1,"""memory_check"""
11,0,0,5,NA,"""huge umbrella""",1,"""memory_check"""
11,0,0,6,NA,"""boisterous teenager""",1,"""memory_check"""
11,1,1,7,NA,"""dark living room""",1,"""memory_check"""
11,1,1,8,NA,"""light sunroom""",1,"""memory_check"""
11,1,1,9,NA,""" expensive crystal flower vase""",1,"""memory_check"""
11,-1,-1,-1,NA,"""typed in adjectives""",-1,"""explanation"""
12,NA,NA,NA,"""buildings.""",NA,NA,NA
12,1,1,0,NA,"""quiet family car""",1,"""memory_check"""
12,1,1,1,NA,"""small sedan""",1,"""memory_check"""
12,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
12,0,0,3,NA,"""ostentatious bike""",1,"""memory_check"""
12,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
12,1,1,5,NA,"""small sports car""",1,"""memory_check"""
12,1,1,6,NA,"""expensive city bike""",1,"""memory_check"""
12,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
12,1,1,8,NA,"""light grape""",1,"""memory_check"""
12,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
12,-1,-1,-1,NA,"""Filled in a sentence with the correct word.""",-1,"""explanation"""
13,NA,NA,NA,"""buildings""",NA,NA,NA
13,0,0,0,NA,"""miniscule bug""",1,"""memory_check"""
13,1,1,1,NA,"""small sports car""",1,"""memory_check"""
13,1,1,2,NA,"""cheap electric bike""",1,"""memory_check"""
13,1,1,3,NA,"""small SUV""",1,"""memory_check"""
13,1,1,4,NA,"""loud family car""",1,"""memory_check"""
13,1,1,5,NA,"""big porcupine""",1,"""memory_check"""
13,0,0,6,NA,"""flowing fields""",1,"""memory_check"""
13,0,1,7,NA,"""ostentatious bike""",0,"""memory_check"""
13,0,0,8,NA,"""huge umbrella""",1,"""memory_check"""
13,0,0,9,NA,"""boisterous teenager""",1,"""memory_check"""
13,-1,-1,-1,NA,"""Determined what the adjective in the sentence was referring to.""",-1,"""explanation"""
14,NA,NA,NA,"""buildings.""",NA,NA,NA
14,0,0,0,NA,"""boisterous teenager""",1,"""memory_check"""
14,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
14,1,1,2,NA,"""small elephant""",1,"""memory_check"""
14,1,1,3,NA,"""light basement""",1,"""memory_check"""
14,1,1,4,NA,""" expensive crystal flower vase""",1,"""memory_check"""
14,0,0,5,NA,"""miniscule bug""",1,"""memory_check"""
14,1,1,6,NA,"""light grape""",1,"""memory_check"""
14,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
14,1,1,8,NA,""" short runner""",1,"""memory_check"""
14,0,0,9,NA,"""huge umbrella""",1,"""memory_check"""
14,-1,-1,-1,NA,"""I read short vignettes and answered questions in relation to them. """,-1,"""explanation"""
15,NA,NA,NA,"""buildings""",NA,NA,NA
15,1,1,0,NA,"""heavy grape""",1,"""memory_check"""
15,1,1,1,NA,""" tall basketball player""",1,"""memory_check"""
15,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
15,1,1,3,NA,""" heavy wardrobe""",1,"""memory_check"""
15,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
15,0,0,5,NA,"""miniscule bug""",1,"""memory_check"""
15,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
15,1,1,7,NA,""" tall gymnast""",1,"""memory_check"""
15,1,1,8,NA,"""small elephant""",1,"""memory_check"""
15,0,0,9,NA,"""flowing fields""",1,"""memory_check"""
15,-1,-1,-1,NA,"""I wrote down what items or persons the speaker was comparing the sizes to.""",-1,"""explanation"""
16,NA,NA,NA,"""buildings""",NA,NA,NA
16,1,1,0,NA,"""dark basement""",1,"""memory_check"""
16,1,1,1,NA,""" cheap plastic flower vase""",1,"""memory_check"""
16,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
16,0,0,3,NA,"""flowing fields""",1,"""memory_check"""
16,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
16,0,0,5,NA,"""ostentatious bike""",1,"""memory_check"""
16,1,1,6,NA,"""cold cup of water""",1,"""memory_check"""
16,1,1,7,NA,"""heavy watermelon""",1,"""memory_check"""
16,1,1,8,NA,"""cold cup of iced tea""",1,"""memory_check"""
16,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
16,-1,-1,-1,NA,"""I typed in what the statement was relevant or referring to.""",-1,"""explanation"""
17,NA,NA,NA,"""buildings""",NA,NA,NA
17,1,1,0,NA,"""cold day in Summer""",1,"""memory_check"""
17,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
17,0,0,2,NA,"""flowing fields""",1,"""memory_check"""
17,0,0,3,NA,"""miniscule bug""",1,"""memory_check"""
17,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
17,1,1,5,NA,"""warm cup of iced tea""",1,"""memory_check"""
17,1,1,6,NA,"""quiet family car""",1,"""memory_check"""
17,1,1,7,NA,"""dark basement""",1,"""memory_check"""
17,1,1,8,NA,""" heavy reading lamp""",1,"""memory_check"""
17,0,0,9,NA,"""huge umbrella""",1,"""memory_check"""
17,-1,-1,-1,NA,"""I explained the underlying tone/meaning to what an individual said putting their statement in context""",-1,"""explanation"""
18,NA,NA,NA,"""height""",NA,NA,NA
18,0,0,0,NA,"""ostentatious bike""",1,"""memory_check"""
18,1,1,1,NA,""" tall runner""",1,"""memory_check"""
18,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
18,1,0,3,NA,""" expensive plastic flower vase""",0,"""memory_check"""
18,1,0,4,NA,"""cheap kids bike""",0,"""memory_check"""
18,1,1,5,NA,"""big chimpanzee""",1,"""memory_check"""
18,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
18,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
18,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
18,1,1,9,NA,"""warm day in Winter""",1,"""memory_check"""
18,-1,-1,-1,NA,"""i picked adjectives relative to a scenario""",-1,"""explanation"""
19,NA,NA,NA,"""buildings""",NA,NA,NA
19,1,1,0,NA,"""cold day in Summer""",1,"""memory_check"""
19,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
19,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
19,1,1,3,NA,"""short flight from Los Angeles to San Francisco""",1,"""memory_check"""
19,1,1,4,NA,""" short runner""",1,"""memory_check"""
19,1,1,5,NA,"""cheap electric bike""",1,"""memory_check"""
19,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
19,1,0,7,NA,"""long bike route from Los Angeles to San Francisco""",0,"""memory_check"""
19,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
19,0,0,9,NA,"""flowing fields""",1,"""memory_check"""
19,-1,-1,-1,NA,"""I filled in the blanks with what the person was referring to.""",-1,"""explanation"""
20,NA,NA,NA,"""buildings""",NA,NA,NA
20,1,1,0,NA,"""light apple""",1,"""memory_check"""
20,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
20,0,0,2,NA,"""miniscule bug""",1,"""memory_check"""
20,1,1,3,NA,"""light living room""",1,"""memory_check"""
20,1,1,4,NA,"""cold day in Winter""",1,"""memory_check"""
20,0,0,5,NA,"""flowing fields""",1,"""memory_check"""
20,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
20,0,0,7,NA,"""boisterous teenager""",1,"""memory_check"""
20,1,1,8,NA,"""loud muscle car""",1,"""memory_check"""
20,1,1,9,NA,"""expensive electric bike""",1,"""memory_check"""
20,-1,-1,-1,NA,"""I had to say how the item in the sentence compared to another item in terms of the adjective.""",-1,"""explanation"""
21,NA,NA,NA,"""buildings""",NA,NA,NA
21,1,1,0,NA,""" tall basketball player""",1,"""memory_check"""
21,0,0,1,NA,"""flowing fields""",1,"""memory_check"""
21,0,0,2,NA,"""boisterous teenager""",1,"""memory_check"""
21,1,1,3,NA,"""loud family car""",1,"""memory_check"""
21,1,1,4,NA,"""loud muscle car""",1,"""memory_check"""
21,0,0,5,NA,"""ostentatious bike""",1,"""memory_check"""
21,0,0,6,NA,"""miniscule bug""",1,"""memory_check"""
21,1,1,7,NA,"""warm cup of iced tea""",1,"""memory_check"""
21,1,1,8,NA,"""cold cup of water""",1,"""memory_check"""
21,0,0,9,NA,"""huge umbrella""",1,"""memory_check"""
21,-1,-1,-1,NA,"""I read a sentence and filled in another sentence with what I thought the first sentence meant.""",-1,"""explanation"""
22,NA,NA,NA,"""buildings in the area""",NA,NA,NA
22,1,1,0,NA,""" heavy reading lamp""",1,"""memory_check"""
22,0,0,1,NA,"""miniscule bug""",1,"""memory_check"""
22,1,1,2,NA,"""big elephant""",1,"""memory_check"""
22,1,1,3,NA,""" short runner""",1,"""memory_check"""
22,1,1,4,NA,"""expensive electric bike""",1,"""memory_check"""
22,1,1,5,NA,"""dark living room""",1,"""memory_check"""
22,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
22,0,0,7,NA,"""boisterous teenager""",1,"""memory_check"""
22,0,0,8,NA,"""flowing fields""",1,"""memory_check"""
22,0,0,9,NA,"""ostentatious bike""",1,"""memory_check"""
22,-1,-1,-1,NA,"""paraphrased how the sentenced could have been completed """,-1,"""explanation"""
23,NA,NA,NA,"""other buildings""",NA,NA,NA
23,1,1,0,NA,"""big SUV""",1,"""memory_check"""
23,0,0,1,NA,"""ostentatious bike""",1,"""memory_check"""
23,1,1,2,NA,"""warm cup of iced tea""",1,"""memory_check"""
23,0,0,3,NA,"""flowing fields""",1,"""memory_check"""
23,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
23,1,1,5,NA,"""heavy grape""",1,"""memory_check"""
23,0,0,6,NA,"""boisterous teenager""",1,"""memory_check"""
23,0,0,7,NA,"""miniscule bug""",1,"""memory_check"""
23,1,1,8,NA,"""big elephant""",1,"""memory_check"""
23,1,1,9,NA,"""quiet electric car""",1,"""memory_check"""
23,-1,-1,-1,NA,"""completed the sentence to make the phrase mean what was said before""",-1,"""explanation"""
24,NA,NA,NA,"""buildings""",NA,NA,NA
24,1,1,0,NA,"""small chimpanzee""",1,"""memory_check"""
24,1,1,1,NA,""" cheap plastic flower vase""",1,"""memory_check"""
24,0,0,2,NA,"""flowing fields""",1,"""memory_check"""
24,0,0,3,NA,"""huge umbrella""",1,"""memory_check"""
24,1,1,4,NA,"""small SUV""",1,"""memory_check"""
24,0,0,5,NA,"""miniscule bug""",1,"""memory_check"""
24,1,1,6,NA,""" heavy coffee table""",1,"""memory_check"""
24,0,0,7,NA,"""boisterous teenager""",1,"""memory_check"""
24,0,1,8,NA,"""ostentatious bike""",0,"""memory_check"""
24,1,1,9,NA,"""light living room""",1,"""memory_check"""
24,-1,-1,-1,NA,"""I picked what the phrase would be comparable to""",-1,"""explanation"""
25,NA,NA,NA,"""HE IS GOOD""",NA,NA,NA
25,0,0,0,NA,"""boisterous teenager""",1,"""memory_check"""
25,1,0,1,NA,"""cold cup of iced tea""",0,"""memory_check"""
25,1,1,2,NA,"""light apple""",1,"""memory_check"""
25,1,0,3,NA,"""light basement""",0,"""memory_check"""
25,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
25,1,0,5,NA,"""dark sunroom""",0,"""memory_check"""
25,1,0,6,NA,""" tall runner""",0,"""memory_check"""
25,0,0,7,NA,"""ostentatious bike""",1,"""memory_check"""
25,0,0,8,NA,"""flowing fields""",1,"""memory_check"""
25,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
25,-1,-1,-1,NA,"""YEAH ITS VERY TOUGH TO FILL WORDS""",-1,"""explanation"""
26,NA,NA,NA,"""buildings""",NA,NA,NA
26,1,1,0,NA,""" cheap glass flower vase""",1,"""memory_check"""
26,1,1,1,NA,"""expensive kids bike""",1,"""memory_check"""
26,0,0,2,NA,"""flowing fields""",1,"""memory_check"""
26,1,1,3,NA,"""warm cup of coffee""",1,"""memory_check"""
26,0,0,4,NA,"""boisterous teenager""",1,"""memory_check"""
26,1,1,5,NA,"""warm cup of iced tea""",1,"""memory_check"""
26,0,0,6,NA,"""huge umbrella""",1,"""memory_check"""
26,0,0,7,NA,"""ostentatious bike""",1,"""memory_check"""
26,1,1,8,NA,"""cold cup of water""",1,"""memory_check"""
26,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
26,-1,-1,-1,NA,"""wrote what the person was comparing the item to""",-1,"""explanation"""
27,NA,NA,NA,"""buildings""",NA,NA,NA
27,0,0,0,NA,"""flowing fields""",1,"""memory_check"""
27,0,0,1,NA,"""boisterous teenager""",1,"""memory_check"""
27,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
27,1,1,3,NA,"""loud muscle car""",1,"""memory_check"""
27,1,1,4,NA,"""cold cup of water""",1,"""memory_check"""
27,1,1,5,NA,"""loud family car""",1,"""memory_check"""
27,1,1,6,NA,""" expensive plastic flower vase""",1,"""memory_check"""
27,0,0,7,NA,"""miniscule bug""",1,"""memory_check"""
27,1,1,8,NA,"""dark living room""",1,"""memory_check"""
27,0,0,9,NA,"""ostentatious bike""",1,"""memory_check"""
27,-1,-1,-1,NA,"""I decided what an adjective was relative to after reading a short interaction.""",-1,"""explanation"""
28,NA,NA,NA,"""buildings""",NA,NA,NA
28,0,0,0,NA,"""miniscule bug""",1,"""memory_check"""
28,0,0,1,NA,"""huge umbrella""",1,"""memory_check"""
28,1,1,2,NA,""" heavy coffee table""",1,"""memory_check"""
28,0,0,3,NA,"""boisterous teenager""",1,"""memory_check"""
28,0,0,4,NA,"""flowing fields""",1,"""memory_check"""
28,1,1,5,NA,"""warm day in Summer""",1,"""memory_check"""
28,1,1,6,NA,"""short flight from Los Angeles to San Francisco""",1,"""memory_check"""
28,1,1,7,NA,"""loud electric car""",1,"""memory_check"""
28,0,0,8,NA,"""ostentatious bike""",1,"""memory_check"""
28,1,1,9,NA,""" expensive plastic flower vase""",1,"""memory_check"""
28,-1,-1,-1,NA,"""I just thought about what they were comparing.""",-1,"""explanation"""
29,NA,NA,NA,"""buildings """,NA,NA,NA
29,0,0,0,NA,"""huge umbrella""",1,"""memory_check"""
29,1,1,1,NA,"""cold cup of coffee""",1,"""memory_check"""
29,1,1,2,NA,"""warm day in Summer""",1,"""memory_check"""
29,1,1,3,NA,""" expensive crystal flower vase""",1,"""memory_check"""
29,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
29,1,1,5,NA,"""short flight from Los Angeles to San Francisco""",1,"""memory_check"""
29,1,0,6,NA,"""light living room""",0,"""memory_check"""
29,0,0,7,NA,"""flowing fields""",1,"""memory_check"""
29,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
29,0,0,9,NA,"""boisterous teenager""",1,"""memory_check"""
29,-1,-1,-1,NA,"""just redid sentences that made them relative to each other""",-1,"""explanation"""
30,NA,NA,NA,"""buildings""",NA,NA,NA
30,1,1,0,NA,"""small chimpanzee""",1,"""memory_check"""
30,0,0,1,NA,"""boisterous teenager""",1,"""memory_check"""
30,0,0,2,NA,"""flowing fields""",1,"""memory_check"""
30,1,1,3,NA,"""light grape""",1,"""memory_check"""
30,0,0,4,NA,"""huge umbrella""",1,"""memory_check"""
30,1,1,5,NA,""" light coffee table""",1,"""memory_check"""
30,1,1,6,NA,"""loud electric car""",1,"""memory_check"""
30,0,0,7,NA,"""ostentatious bike""",1,"""memory_check"""
30,1,1,8,NA,"""small porcupine""",1,"""memory_check"""
30,0,0,9,NA,"""miniscule bug""",1,"""memory_check"""
30,-1,-1,-1,NA,"""Figure out what a sentence is comparing something to relative to others in a category.""",-1,"""explanation"""
31,NA,NA,NA,"""buildings""",NA,NA,NA
31,1,1,0,NA,"""quiet family car""",1,"""memory_check"""
31,1,1,1,NA,"""heavy apple""",1,"""memory_check"""
31,0,0,2,NA,"""huge umbrella""",1,"""memory_check"""
31,0,0,3,NA,"""flowing fields""",1,"""memory_check"""
31,1,1,4,NA,""" heavy wardrobe""",1,"""memory_check"""
31,0,0,5,NA,"""ostentatious bike""",1,"""memory_check"""
31,1,1,6,NA,"""small sedan""",1,"""memory_check"""
31,1,1,7,NA,"""long driving route from Los Angeles to San Francisco""",1,"""memory_check"""
31,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
31,0,0,9,NA,"""boisterous teenager""",1,"""memory_check"""
31,-1,-1,-1,NA,"""wrote a word based on intent of person""",-1,"""explanation"""
32,NA,NA,NA,"""skyscrapers""",NA,NA,NA
32,1,1,0,NA,""" expensive crystal flower vase""",1,"""memory_check"""
32,1,1,1,NA,""" light reading lamp""",1,"""memory_check"""
32,1,1,2,NA,"""cold cup of water""",1,"""memory_check"""
32,0,0,3,NA,"""huge umbrella""",1,"""memory_check"""
32,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
32,1,1,5,NA,"""small sports car""",1,"""memory_check"""
32,0,0,6,NA,"""flowing fields""",1,"""memory_check"""
32,1,1,7,NA,""" heavy coffee table""",1,"""memory_check"""
32,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
32,0,0,9,NA,"""boisterous teenager""",1,"""memory_check"""
32,-1,-1,-1,NA,"""finding the \""scale\"" that the person was basing their measurement off of in the conversation.""",-1,"""explanation"""
33,NA,NA,NA,"""buildings""",NA,NA,NA
33,0,0,0,NA,"""ostentatious bike""",1,"""memory_check"""
33,1,1,1,NA,"""cheap city bike""",1,"""memory_check"""
33,1,1,2,NA,"""light living room""",1,"""memory_check"""
33,0,0,3,NA,"""boisterous teenager""",1,"""memory_check"""
33,0,0,4,NA,"""miniscule bug""",1,"""memory_check"""
33,1,1,5,NA,""" cheap plastic flower vase""",1,"""memory_check"""
33,0,0,6,NA,"""flowing fields""",1,"""memory_check"""
33,1,1,7,NA,"""cold cup of water""",1,"""memory_check"""
33,0,0,8,NA,"""huge umbrella""",1,"""memory_check"""
33,1,1,9,NA,"""short bike route from Los Angeles to San Francisco""",1,"""memory_check"""
33,-1,-1,-1,NA,"""I filled in blank for sentences""",-1,"""explanation"""
34,NA,NA,NA,"""buildings""",NA,NA,NA
34,1,1,0,NA,""" short runner""",1,"""memory_check"""
34,1,1,1,NA,"""quiet family car""",1,"""memory_check"""
34,1,1,2,NA,""" light reading lamp""",1,"""memory_check"""
34,0,0,3,NA,"""huge umbrella""",1,"""memory_check"""
34,0,0,4,NA,"""ostentatious bike""",1,"""memory_check"""
34,0,0,5,NA,"""boisterous teenager""",1,"""memory_check"""
34,1,1,6,NA,"""light watermelon""",1,"""memory_check"""
34,1,1,7,NA,"""warm cup of water""",1,"""memory_check"""
34,0,0,8,NA,"""miniscule bug""",1,"""memory_check"""
