"workerid","strength","trial_num","target","degree","gender","contextWithSuper","adjective","super_category","form","names","context","contextWithSuperPronoun","response","condition","sub_category"
5,3,8,"long","time","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Robert"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
5,3,9," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Eric"," sees a professional basketball player.","","people nearby","contextWithSuper","basketball player"
5,3,10,"light","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Josh"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
5,3,11,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Laura"," finds a dishwasher and looks at the price.","She","appliances","contextWithSuper","dishwasher"
5,1,12,"heavy","weight","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Gary"," picks up a grape.","","grapes","contextWithSuper","grape"
5,1,13,"short","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Alicia"," finds a video of a cute animal to watch online with their friend.","","videos that have cute animals","contextWithSuper","video of the cute animal"
5,2,14,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Tom"," finds a toaster and looks at the price.","He","toasters","contextWithSuper","toaster"
5,2,15," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Stephanie"," sees a professional soccer player.","","soccer players","contextWithSuper","soccer player"
6,2,1,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Eric"," lives in Maryland and steps outside in Fall.","He","seasons","contextWithSuper","day in Fall"
6,1,2,"short","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","short","things you watch online","negative","Stephanie"," finds a video of a cute animal to watch online with their friend.","","videos","contextWithSuper","video of the cute animal"
6,3,3," short","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Josh"," sees a professional basketball player.","","players","contextWithSuper","basketball player"
6,1,4,"heavy","weight","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Charles"," picks up a grape.","","grapes","contextWithSuper","grape"
6,3,5,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Anthony"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
6,2,6,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Michelle"," finds a toaster and looks at the price.","She","toasters","contextWithSuper","toaster"
6,1,7,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Robert"," lives in Maryland and steps outside in Winter.","He","days","contextWithSuper","day in Winter"
6,2,8,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Simon"," picks up an apple.","","apples","contextWithSuper","apple"
6,2,9," tall","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Claire"," sees a professional soccer player.","","players","contextWithSuper","soccer player"
6,3,10,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Monica"," finds a dishwasher and looks at the price.","She","dishwashers","contextWithSuper","dishwasher"
6,1,11," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jennifer"," sees a professional gymnast.","","gymnasts","contextWithSuper","gymnast"
6,1,12,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Alicia"," finds a bottle opener and looks at the price.","She","bottle openers","contextWithSuper","bottle opener"
6,3,13,"light","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Natalia"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
6,2,14,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Lucas"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
6,3,15,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Melinda"," lives in Maryland and steps outside in Summer.","She","days","contextWithSuper","day in Summer"
7,3,1,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Charles"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
7,1,2," tall","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Eric"," sees a professional gymnast.","","people","contextWithSuper","gymnast"
7,3,3,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Angela"," lives in Maryland and steps outside in Summer.","She","days in Summer","contextWithSuper","day in Summer"
7,1,4,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Monica"," finds a bottle opener and looks at the price.","She","bottle openers","contextWithSuper","bottle opener"
7,1,5,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Simon"," lives in Maryland and steps outside in Winter.","He","days in Winter","contextWithSuper","day in Winter"
7,3,6,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Kim"," finds a dishwasher and looks at the price.","She","dishwashers","contextWithSuper","dishwasher"
7,2,7,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Lee"," lives in Maryland and steps outside in Fall.","He","days in fall","contextWithSuper","day in Fall"
7,1,8,"heavy","weight","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Kim"," picks up a grape.","","grapes","contextWithSuper","grape"
7,3,9," short","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Michael"," sees a professional basketball player.","","basketball players","contextWithSuper","basketball player"
7,3,10,"heavy","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Gary"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
7,2,11," short","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Anthony"," sees a professional soccer player.","","people","contextWithSuper","soccer player"
7,2,12,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Gabriel"," finds a music video to watch online with their friend.","","videos","contextWithSuper","music video"
7,2,13,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Michelle"," finds a toaster and looks at the price.","She","toasters","contextWithSuper","toaster"
7,2,14,"heavy","weight","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Kathleen"," picks up an apple.","","fruit","contextWithSuper","apple"
7,1,15,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Melinda"," finds a video of a cute animal to watch online with their friend.","","videos of cute animals","contextWithSuper","video of the cute animal"
8,2,1,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Lee"," lives in Maryland and steps outside in Fall.","He","days","contextWithSuper","day in Fall"
8,3,2,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Monica"," finds a dishwasher and looks at the price.","She","dishwashers","contextWithSuper","dishwasher"
8,3,3,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Kim"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
8,2,4,"long","time","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Veronica"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
8,2,5," tall","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Robert"," sees a professional soccer player.","","soccer players","contextWithSuper","soccer player"
8,2,6,"heavy","weight","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Julia"," picks up an apple.","","apples","contextWithSuper","apple"
8,1,7," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Sophie"," sees a professional gymnast.","","Gymnasts","contextWithSuper","gymnast"
8,1,8,"cold","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Jennifer"," lives in Maryland and steps outside in Winter.","She","other winter days","contextWithSuper","day in Winter"
8,3,9," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Alexander"," sees a professional basketball player.","","regular men","contextWithSuper","basketball player"
8,3,10,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Charles"," lives in Maryland and steps outside in Summer.","He","summer days","contextWithSuper","day in Summer"
8,2,11,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Gabriel"," finds a toaster and looks at the price.","He","toasters","contextWithSuper","toaster"
8,1,12,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Maya"," finds a video of a cute animal to watch online with their friend.","","other animals","contextWithSuper","video of the cute animal"
8,1,13,"light","weight","male"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Simon"," picks up a grape.","","grapes","contextWithSuper","grape"
8,3,14,"long","time","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Michael"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
8,1,15,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Cameron"," finds a bottle opener and looks at the price.","He","bottle openers","contextWithSuper","bottle opener"
9,3,1,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Monica"," lives in Maryland and steps outside in Summer.","","temperatures ","context","day in Summer"
9,3,2,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Tanya"," finds a dishwasher and looks at the price.","","prices","context","dishwasher"
9,1,3,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Kim"," finds a video of a cute animal to watch online with their friend.","","videos","context","video of the cute animal"
9,1,4,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Kim"," lives in Maryland and steps outside in Winter.","","winters","context","day in Winter"
9,3,5,"long","time","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Stephanie"," finds a movie to watch online with their friend.","","movies","context","movie"
9,2,6,"cold","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","negative","John"," lives in Maryland and steps outside in Fall.","","seasons","context","day in Fall"
9,3,7," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Gabriel"," sees a professional basketball player.","","men","context","basketball player"
9,2,8,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Josh"," finds a toaster and looks at the price.","","prices","context","toaster"
9,1,9," tall","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Gary"," sees a professional gymnast.","","gymnasts","context","gymnast"
9,2,10,"light","weight","male"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Anthony"," picks up an apple.","","apples","context","apple"
9,2,11," tall","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Michael"," sees a professional soccer player.","","soccer players","context","soccer player"
9,1,12,"light","weight","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Julia"," picks up a grape.","","grapes","context","grape"
9,2,13,"long","time","female"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Sophie"," finds a music video to watch online with their friend.","","music videos","context","music video"
9,1,14,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Lucas"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
9,3,15,"heavy","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","David"," picks up a watermelon.","","watermelons","context","watermelon"
10,3,1,"cold","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Monica"," lives in Maryland and steps outside in Summer.","","weather","context","day in Summer"
10,1,2," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Veronica"," sees a professional gymnast.","","people","context","gymnast"
10,2,3,"expensive","price","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Josh"," finds a toaster and looks at the price.","","products","context","toaster"
10,3,4,"long","time","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Stephanie"," finds a movie to watch online with their friend.","","movies","context","movie"
