"workerid","super_endorsement","strength","target","degree","paraphrase0","gender","condition","contextWithSuper","adjective","super_category","form","names","context","paraphrase1","sub_endorsement","contextWithSuperPronoun","sub_category"
1,0.49,2,"light","weight","sub_plural","female","contextWithSuper"," is in the produce section of the supermarket and picks up an apple.","light","produce","positive","Laura"," picks up an apple.","super",0.34,"","apple"
1,0.28,2,"long","time","sub_plural","male","contextWithSuper"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Gary"," finds a music video to watch online with their friend.","super",0.6,"","music video"
1,0.42,3,"cold","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Summer.","super",0.83,"She","day in Summer"
1,0.17,3,"light","weight","sub_plural","male","contextWithSuper"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Michael"," picks up a watermelon.","super",0.63,"","watermelon"
1,0.87,1," tall","height","sub_plural","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Lucas"," sees a professional gymnast.","super",0.46,"","gymnast"
1,0.15,1,"long","time","sub_plural","female","contextWithSuper"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Alicia"," finds a video of a cute animal to watch online with their friend.","super",0.58,"","video of the cute animal"
1,0.6,1,"heavy","weight","sub_plural","female","contextWithSuper"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Jasmine"," picks up a grape.","super",0.33,"","grape"
1,0.4,2,"cold","temperature","sub_plural","male","contextWithSuper"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","cold","days of the year","positive","Greg"," lives in Maryland and steps outside in Fall.","super",0.75,"He","day in Fall"
2,0.81,2,"warm","temperature","super","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Michelle"," lives in Maryland and steps outside in Fall.","sub_plural",0.9,"","day in Fall"
2,0.32,1,"expensive","price","super","female","context"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Jasmine"," is buying a can opener.","sub_plural",1,"","can opener"
2,0.02,1,"heavy","weight","super","female","context"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Kathleen"," picks up a grape.","sub_plural",1,"","grape"
2,0.45,2," short","height","super","female","context"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Maya"," sees a professional soccer player.","sub_plural",0.99,"","soccer player"
2,0.38,2,"long","time","super","female","context"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Sophie"," finds a music video to watch online with their friend.","sub_plural",1,"","music video"
2,0.24,3,"cheap","price","super","female","context"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Alicia"," is buying an oven.","sub_plural",1,"","oven"
2,0.89,1," tall","height","super","female","context"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Angela"," sees a professional gymnast.","sub_plural",0.52,"","gymnast"
2,0.33,2,"heavy","weight","super","female","context"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Stephanie"," picks up an apple.","sub_plural",0.85,"","apple"
2,0.54,3,"cold","temperature","super","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Laura"," lives in Maryland and steps outside in Summer.","sub_plural",0.91,"","day in Summer"
2,0.64,3,"short","time","super","male","context"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Michael"," finds a lecture to watch online with their friend.","sub_plural",0.48,"","movie"
2,0.41,1,"warm","temperature","super","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Lee"," lives in Maryland and steps outside in Winter.","sub_plural",0.89,"","day in Winter"
2,0.34,3,"light","weight","super","male","context"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Lucas"," picks up a watermelon.","sub_plural",1,"","watermelon"
2,0.45,3," short","height","super","male","context"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Simon"," sees a professional basketball player.","sub_plural",0.83,"","basketball player"
2,0.13,2,"cheap","price","super","female","context"," is at a kitchen appliance store and is looking at a toaster.","cheap","kitchen appliances","positive","Claire"," is buying a toaster.","sub_plural",1,"","toaster"
2,0.22,1,"long","time","super","female","context"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Natalia"," finds a video of a cute animal to watch online with their friend.","sub_plural",1,"","video of the cute animal"
3,0.14,1," tall","height","super","female","context"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Michelle"," sees a professional gymnast.","sub_plural",0.78,"","gymnast"
3,0,3,"light","weight","super","female","context"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Kim"," picks up a watermelon.","sub_plural",0.96,"","watermelon"
3,0.06,3,"cheap","price","super","male","context"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Gabriel"," is buying an oven.","sub_plural",0.94,"","oven"
3,0.01,1,"warm","temperature","super","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Gary"," lives in Maryland and steps outside in Winter.","sub_plural",0.96,"","day in Winter"
3,0.03,2,"heavy","weight","super","male","context"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Stephen"," picks up an apple.","sub_plural",0.98,"","apple"
3,0.21,2," short","height","super","male","context"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Tom"," sees a professional soccer player.","sub_plural",0.7,"","soccer player"
3,0.18,3,"short","time","super","female","context"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Veronica"," finds a lecture to watch online with their friend.","sub_plural",0.76,"","movie"
3,0.03,3," short","height","super","male","context"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Lee"," sees a professional basketball player.","sub_plural",0.99,"","basketball player"
3,0.85,1,"long","time","super","female","context"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Monica"," finds a video of a cute animal to watch online with their friend.","sub_plural",0.5,"","video of the cute animal"
3,0.11,3,"cold","temperature","super","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Natalia"," lives in Maryland and steps outside in Summer.","sub_plural",0.99,"","day in Summer"
3,0.05,2,"expensive","price","super","female","context"," is at a kitchen appliance store and is looking at a toaster.","expensive","kitchen appliances","positive","Claire"," is buying a toaster.","sub_plural",0.99,"","toaster"
3,0.14,2,"warm","temperature","super","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Kathleen"," lives in Maryland and steps outside in Fall.","sub_plural",0.87,"","day in Fall"
3,0,1,"heavy","weight","super","male","context"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Anthony"," picks up a grape.","sub_plural",0.99,"","grape"
3,0.25,2,"long","time","super","male","context"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","William"," finds a music video to watch online with their friend.","sub_plural",0.78,"","music video"
3,0.01,1,"expensive","price","super","female","context"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Melinda"," is buying a can opener.","sub_plural",0.98,"","can opener"
4,0.6,2,"warm","temperature","super","male","contextWithSuper"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Charles"," lives in Maryland and steps outside in Fall.","sub_plural",0.82,"He","day in Fall"
4,0.6,2,"heavy","weight","super","male","contextWithSuper"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Daniel"," picks up an apple.","sub_plural",0.77,"","apple"
4,0.21,2,"expensive","price","super","male","contextWithSuper"," is at a kitchen appliance store and is looking at a toaster.","expensive","kitchen appliances","positive","Greg"," is buying a toaster.","sub_plural",0.86,"","toaster"
4,0.84,2," short","height","super","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Maya"," sees a professional soccer player.","sub_plural",0.33,"","soccer player"
4,0.41,3,"cheap","price","super","female","contextWithSuper"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Kim"," is buying an oven.","sub_plural",0.87,"","oven"
4,0.4,1,"heavy","weight","super","female","contextWithSuper"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Claire"," picks up a grape.","sub_plural",0.93,"","grape"
4,0.51,3,"cold","temperature","super","male","contextWithSuper"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Anthony"," lives in Maryland and steps outside in Summer.","sub_plural",0.88,"He","day in Summer"
4,0.3,2,"long","time","super","male","contextWithSuper"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Gary"," finds a music video to watch online with their friend.","sub_plural",0.87,"","music video"
4,0.83,1," tall","height","super","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Gabriel"," sees a professional gymnast.","sub_plural",0.78,"","gymnast"
4,0.24,1,"long","time","super","male","contextWithSuper"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Lucas"," finds a video of a cute animal to watch online with their friend.","sub_plural",0.8,"","video of the cute animal"
4,0.66,1,"warm","temperature","super","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Winter.","sub_plural",0.87,"She","day in Winter"
4,0.11,1,"expensive","price","super","male","contextWithSuper"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","William"," is buying a can opener.","sub_plural",0.86,"","can opener"
4,0.06,3,"light","weight","super","male","contextWithSuper"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Tom"," picks up a watermelon.","sub_plural",0.89,"","watermelon"
4,0.1,3,"short","time","super","male","contextWithSuper"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Alexander"," finds a lecture to watch online with their friend.","sub_plural",0.87,"","movie"
4,0.09,3," short","height","super","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Cameron"," sees a professional basketball player.","sub_plural",0.99,"","basketball player"
5,0.78,3,"short","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Anthony"," finds a lecture to watch online with their friend.","super",0.09,"","movie"
5,0.12,1,"warm","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Michael"," lives in Maryland and steps outside in Winter.","super",0.78,"","day in Winter"
5,0.06,2,"cheap","price","sub_plural","male","context"," is at a kitchen appliance store and is looking at a toaster.","cheap","kitchen appliances","positive","Gary"," is buying a toaster.","super",0.9,"","toaster"
5,0.08,3,"cold","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Robert"," lives in Maryland and steps outside in Summer.","super",0.91,"","day in Summer"
5,0.06,1,"expensive","price","sub_plural","female","context"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Angela"," is buying a can opener.","super",0.79,"","can opener"
5,0.57,2," short","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Jennifer"," sees a professional soccer player.","super",0.82,"","soccer player"
5,0.46,3,"cheap","price","sub_plural","female","context"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Tanya"," is buying an oven.","super",0.89,"","oven"
5,0.27,1," tall","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Natalia"," sees a professional gymnast.","super",0.93,"","gymnast"
5,0.28,3,"light","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Maya"," picks up a watermelon.","super",0.88,"","watermelon"
5,0.51,2,"short","time","sub_plural","female","context"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","positive","Kim"," finds a music video to watch online with their friend.","super",0.91,"","music video"
5,0.27,2,"light","weight","sub_plural","male","context"," is in the produce section of the supermarket and picks up an apple.","light","produce","positive","Josh"," picks up an apple.","super",0.88,"","apple"
5,0.84,1,"long","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","John"," finds a video of a cute animal to watch online with their friend.","super",0.58,"","video of the cute animal"
5,0.24,3," short","height","sub_plural","male","context"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Alexander"," sees a professional basketball player.","super",0.9,"","basketball player"
5,0.08,1,"heavy","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Alicia"," picks up a grape.","super",0.9,"","grape"
5,0.5,2,"cold","temperature","sub_plural","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","positive","Laura"," lives in Maryland and steps outside in Fall.","super",0.88,"","day in Fall"
6,0.66,2," tall","height","sub_plural","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Natalia"," sees a professional soccer player.","super",0.74,"","soccer player"
6,0.59,3,"cold","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Laura"," lives in Maryland and steps outside in Summer.","super",0.72,"She","day in Summer"
6,0.7,1,"heavy","weight","sub_plural","male","contextWithSuper"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Lucas"," picks up a grape.","super",0.92,"","grape"
6,0.71,2,"cold","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","cold","days of the year","positive","Tanya"," lives in Maryland and steps outside in Fall.","super",0.86,"She","day in Fall"
6,0.67,3,"short","time","sub_plural","male","contextWithSuper"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Simon"," finds a lecture to watch online with their friend.","super",0.79,"","movie"
6,0.49,3,"cheap","price","sub_plural","male","contextWithSuper"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Eric"," is buying an oven.","super",0.92,"","oven"
6,0.61,1," tall","height","sub_plural","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Maya"," sees a professional gymnast.","super",0.83,"","gymnast"
6,0.65,2,"cheap","price","sub_plural","female","contextWithSuper"," is at a kitchen appliance store and is looking at a toaster.","cheap","kitchen appliances","positive","Stephanie"," is buying a toaster.","super",0.85,"","toaster"
6,0.67,2,"light","weight","sub_plural","male","contextWithSuper"," is in the produce section of the supermarket and picks up an apple.","light","produce","positive","Anthony"," picks up an apple.","super",0.77,"","apple"
6,0.55,2,"long","time","sub_plural","female","contextWithSuper"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Veronica"," finds a music video to watch online with their friend.","super",0.82,"","music video"
6,0.36,1,"expensive","price","sub_plural","male","contextWithSuper"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Alexander"," is buying a can opener.","super",0.96,"","can opener"
6,0.19,3," short","height","sub_plural","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Stephen"," sees a professional basketball player.","super",0.97,"","basketball player"
6,0.2,1,"warm","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Kim"," lives in Maryland and steps outside in Winter.","super",0.96,"She","day in Winter"
6,0.35,1,"long","time","sub_plural","female","contextWithSuper"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Mika"," finds a video of a cute animal to watch online with their friend.","super",0.65,"","video of the cute animal"
6,0.07,3,"light","weight","sub_plural","female","contextWithSuper"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Monica"," picks up a watermelon.","super",0.98,"","watermelon"
7,0.25,1,"long","time","sub_plural","male","contextWithSuper"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Tom"," finds a video of a cute animal to watch online with their friend.","super",0.66,"","video of the cute animal"
7,0.51,1,"heavy","weight","sub_plural","male","contextWithSuper"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Josh"," picks up a grape.","super",0.59,"","grape"
7,0.18,3," short","height","sub_plural","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Veronica"," sees a professional basketball player.","super",0.96,"","basketball player"
7,0.38,1,"expensive","price","sub_plural","female","contextWithSuper"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Jasmine"," is buying a can opener.","super",0.69,"","can opener"
7,0.48,1,"warm","temperature","sub_plural","male","contextWithSuper"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Gabriel"," lives in Maryland and steps outside in Winter.","super",0.83,"He","day in Winter"
7,0.22,3,"short","time","sub_plural","male","contextWithSuper"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","William"," finds a lecture to watch online with their friend.","super",0.85,"","movie"
7,0.5,2,"warm","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Mika"," lives in Maryland and steps outside in Fall.","super",0.67,"She","day in Fall"
7,0.47,3,"light","weight","sub_plural","female","contextWithSuper"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Sophie"," picks up a watermelon.","super",0.58,"","watermelon"
7,0.34,1," tall","height","sub_plural","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jennifer"," sees a professional gymnast.","super",0.5,"","gymnast"
7,0.44,3,"cheap","price","sub_plural","male","contextWithSuper"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Michael"," is buying an oven.","super",0.82,"","oven"
7,0.5,2,"light","weight","sub_plural","female","contextWithSuper"," is in the produce section of the supermarket and picks up an apple.","light","produce","positive","Stephanie"," picks up an apple.","super",0.74,"","apple"
7,0.49,2,"expensive","price","sub_plural","female","contextWithSuper"," is at a kitchen appliance store and is looking at a toaster.","expensive","kitchen appliances","positive","Alicia"," is buying a toaster.","super",0.37,"","toaster"
7,0.06,3,"cold","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Kim"," lives in Maryland and steps outside in Summer.","super",0.73,"She","day in Summer"
7,0.61,2," short","height","sub_plural","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Lee"," sees a professional soccer player.","super",0.75,"","soccer player"
7,0.24,2,"short","time","sub_plural","female","contextWithSuper"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","positive","Claire"," finds a music video to watch online with their friend.","super",0.54,"","music video"
8,0.14,2,"short","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","positive","Gary"," finds a music video to watch online with their friend.","super",0.82,"","music video"
8,0.31,3,"light","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Alicia"," picks up a watermelon.","super",0.85,"","watermelon"
8,0.54,2,"cheap","price","sub_plural","male","context"," is at a kitchen appliance store and is looking at a toaster.","cheap","kitchen appliances","positive","Simon"," is buying a toaster.","super",0.58,"","toaster"
8,0.09,1,"heavy","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Michelle"," picks up a grape.","super",0.7,"","grape"
8,0.69,3,"short","time","sub_plural","female","context"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Tanya"," finds a lecture to watch online with their friend.","super",0.4,"","movie"
8,0.67,1," tall","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Angela"," sees a professional gymnast.","super",0.72,"","gymnast"
8,0.86,1,"long","time","sub_plural","female","context"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Jasmine"," finds a video of a cute animal to watch online with their friend.","super",0.12,"","video of the cute animal"
8,0.22,3,"cheap","price","sub_plural","male","context"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Charles"," is buying an oven.","super",0.64,"","oven"
8,0.07,1,"warm","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","David"," lives in Maryland and steps outside in Winter.","super",0.94,"","day in Winter"
8,0.31,3," short","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Laura"," sees a professional basketball player.","super",0.81,"","basketball player"
8,0.04,3,"cold","temperature","sub_plural","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Mika"," lives in Maryland and steps outside in Summer.","super",0.95,"","day in Summer"
8,0.57,2," short","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Sophie"," sees a professional soccer player.","super",0.66,"","soccer player"
8,0.37,2,"cold","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","positive","Gabriel"," lives in Maryland and steps outside in Fall.","super",0.88,"","day in Fall"
8,0.33,1,"expensive","price","sub_plural","female","context"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Melinda"," is buying a can opener.","super",0.58,"","can opener"
8,0.31,2,"heavy","weight","sub_plural","male","context"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Greg"," picks up an apple.","super",0.75,"","apple"
9,0.64,2," short","height","super","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Tom"," sees a professional soccer player.","sub_plural",0.51,"","soccer player"
9,0.45,2,"warm","temperature","super","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Alicia"," lives in Maryland and steps outside in Fall.","sub_plural",0.98,"She","day in Fall"
9,0.23,2,"cheap","price","super","male","contextWithSuper"," is at a kitchen appliance store and is looking at a toaster.","cheap","kitchen appliances","positive","Anthony"," is buying a toaster.","sub_plural",0.92,"","toaster"
9,0.08,3,"short","time","super","female","contextWithSuper"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Veronica"," finds a lecture to watch online with their friend.","sub_plural",0.97,"","movie"
9,0.01,1,"heavy","weight","super","female","contextWithSuper"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Mika"," picks up a grape.","sub_plural",0.87,"","grape"
9,0.99,1,"long","time","super","male","contextWithSuper"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","John"," finds a video of a cute animal to watch online with their friend.","sub_plural",0.1,"","video of the cute animal"
9,0.05,1,"expensive","price","super","female","contextWithSuper"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Angela"," is buying a can opener.","sub_plural",0.9,"","can opener"
9,0,3,"cold","temperature","super","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Claire"," lives in Maryland and steps outside in Summer.","sub_plural",0.99,"She","day in Summer"
